,Dataset,Average number of tokens,Number of unique tokens,Minimum number of tokens,Maximum number of tokens,Mean distance,Fisher ratio,CalHara Index,DaBou Index,Number of cluster,Pearson Med,Number of labels,Kurtosis,Misclassification rate,Number of classes,ASR_TextFooler,ASR_PWWS,ASR_BERT,ASR_DeepWordBug
109,dbpedia,67.15222222,9685,9,175,0.610149602,1.375086319,93.71742141,1.771518602,14,0.821846869,14,2.290573517,0.92,14,0.47,0.28,0.48,0.1
110,yelp_review_polarity,187.8088889,9157,5,1301,0.449480171,1.49632838,1343.702885,1.764306182,3,0.0,2,1.0,0.63,2,0.76,0.83,0.82,0.27
111,dbpedia,65.96888889,9572,11,532,0.611044905,1.368138161,93.24387772,1.674724402,16,0.895664664,14,2.428386424,0.98,14,0.39,0.32,0.64,0.12
112,yelp_review_polarity,186.6588889,9225,7,1450,0.45303298,1.484111738,1332.732341,1.941868004,2,0.0,2,1.0,0.89,2,0.79,0.8,0.86,0.21
113,dbpedia,67.66555556,9715,12,176,0.619893199,1.351576824,92.11515896,1.899035681,15,-0.117810736,14,2.742030863,0.91,14,0.48,0.4,0.54,0.09
114,dbpedia,67.85,9694,11,156,0.611014,1.364271413,92.98034397,1.720114773,15,-0.327093281,14,2.109723695,0.92,14,0.43,0.35,0.66,0.07
115,amazon_review_polarity,100.0633333,8832,19,261,0.362154272,2.029256464,1822.272305,2.410706971,4,0.0,2,1.0,0.59,2,0.69,0.68,0.87,0.31
116,ag_news,44.67777778,7283,11,208,0.431682274,2.023548491,604.3664826,2.073475367,11,-0.189358321,4,1.885001825,0.79,4,0.6,0.53,0.54,0.16
117,amazon_review_polarity,100.0333333,9011,18,289,0.35047021,2.09295343,1879.47218,2.330309817,6,0.0,2,1.0,0.92,2,0.72,0.73,0.8,0.29
118,yelp_review_polarity,187.0044444,9260,5,1259,0.453588699,1.494498289,1342.059463,1.837903841,2,0.0,2,1.0,0.56,2,0.8,0.81,0.86,0.31
119,dbpedia,66.26666667,9671,13,282,0.616983511,1.353854221,92.27037231,1.843876345,15,1.250661739,14,4.348072501,0.93,14,0.52,0.42,0.58,0.07
120,yelp_review_polarity,193.5766667,9265,7,1297,0.447111545,1.51420057,1359.752112,1.743822167,2,0.0,2,1.0,0.68,2,0.75,0.72,0.86,0.39
121,amazon_review_polarity,97.50777778,8790,20,305,0.354314048,2.050925502,1841.731101,2.350482057,3,0.0,2,1.0,0.92,2,0.84,0.82,0.9,0.33
122,yelp_review_polarity,190.3688889,9232,6,1550,0.455251345,1.48414029,1332.75798,2.004051595,2,0.0,2,1.0,0.63,2,0.59,0.57,0.74,0.3
123,dbpedia,66.45666667,9730,13,219,0.611671697,1.372354307,93.53122429,1.768961352,13,0.428032548,14,2.707858188,0.9,14,0.49,0.35,0.64,0.05
124,yelp_review_full,190.88,9138,4,1213,0.326768683,1.480430773,331.2463854,1.719390643,2,0.0,5,1.67731569,0.83,5,0.85,0.96,0.94,0.65
125,amazon_review_polarity,97.86222222,8948,16,278,0.358914187,2.079261605,1867.176921,2.469049487,2,0.0,2,1.0,0.58,2,0.55,0.54,0.64,0.35
126,amazon_review_polarity,96.80666667,8840,17,523,0.350675471,2.101092496,1886.781062,2.410714273,4,0.0,2,1.0,0.86,2,0.66,0.69,0.84,0.31
127,ag_news,45.87444444,7305,10,214,0.422778415,2.010401909,600.4400367,2.410859625,2,-0.564432521,4,1.418513588,0.76,4,0.64,0.61,0.56,0.16
128,amazon_review_polarity,96.87444444,8938,21,286,0.354786039,2.074306229,1862.726994,2.144205284,2,0.0,2,1.0,0.58,2,0.78,0.75,0.91,0.3
129,yelp_review_polarity,190.1277778,9144,7,1183,0.452719862,1.483535165,1332.214578,1.614864034,2,0.0,2,1.0,0.81,2,0.82,0.85,0.89,0.33
